GeoFips,GeoName,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4
00000,United States,1448827.8,1474514.3,1512372.3,1547101.6,1581170.6,1625727.5,1670806.8,1728823.2,1770224.2,1830326.3,1884919.2,1937926.3,1996408.0,2035997.0,2101214.8,2159564.3,2223417.9,2259993.8,2338876.5,2433599.9,2496308.1,2546059.1,2644536.9,2677075.9,2712107.6,2757026.3,2798775.1,2842651.1,2881738.1,2931147.2,2988455.9,3075990.9,3164220.4,3246080.3,3318934.0,3372425.3,3438428.7,3478646.3,3526713.6,3590139.5,3656036.9,3695867.5,3741387.1,3777732.4,3829066.3,3886892.4,3956628.0,4054613.3,4138636.1,4216429.8,4309223.2,4393442.9,4519142.8,4572102.8,4626664.6,4702517.8,4800003.9,4881147.5,4943184.0,4964992.7,4979471.0,5041964.6,5094222.5,5173505.9,5283827.6,5379877.5,5441881.9,5520597.0,5546225.2,5621776.1,5662893.9,5743696.8,5794662.9,5899241.9,5965435.5,6076411.7,6168561.8,6237677.7,6315975.9,6390284.6,6506167.8,6634011.3,6706915.2,6796321.6,6915946.5,6997168.4,7111085.0,7249488.1,7411544.3,7539478.7,7646043.0,7738945.9,7836057.7,7896547.4,8007744.8,8173446.1,8409531.7,8550011.9,8710593.2,8810799.2,8971572.9,9008703.9,8994316.9,8985822.3,9028833.2,9128417.8,9173690.6,9255858.5,9300975.4,9401892.6,9530394.9,9665473.2,9763324.3,9928041.0,10066545.2,10277805.5,10287795.8,10453936.4,10616693.1,10804774.8,11095940.1,11247770.7,11339191.8,11482881.3,11768805.4,11899235.1,11954124.3,12078011.2,12258132.9,12612538.5,12463199.5,12359769.2,12027746.6,12068943.6,12014678.8,12121643.0,12277936.0,12503808.7,12630705.2,12777554.1,13132034.1,13240161.2,13382056.9,13445019.9,13715672.7,13841459.9,13795612.3,14270251.1,13896389.9,14033746.6,14118170.5,14204825.0,14453307.8,14687303.6,14882440.2,15089588.4,15276302.2,15423817.5,15541187.0,15627145.2,15703395.6,15784190.6,15938963.8,16112413.9,16356975.5,16549325.2,16740977.5,16988569.7,17192994.4,17393989.1,17633681.1,17836943.5,18133933.8,18271637.4,18395257.1,18573575.7,18756235.6,20163650.5,19822751.8,19697302.1,22147826.5,21031135.9,21124208.1,21268077.5,21395331.0,21640433.8,21995492.2,22249735.0,22618087.6,22842355.5,23059132.6,23288535.7
01000,Alabama,19713.2,20018.6,20479.8,21084.6,21336.6,22044.0,22674.2,23524.7,23990.2,25051.3,25902.3,26415.9,27291.2,27599.6,28447.6,29264.9,30064.9,30303.7,31290.8,32518.0,33506.9,33799.5,35142.8,35367.5,35677.2,36145.1,36649.9,37066.4,37642.9,38460.9,39387.2,40424.4,41422.3,42393.5,43395.6,44140.7,45118.7,45779.6,46354.6,47090.3,48142.5,48447.1,49084.3,49434.9,50098.3,50708.1,51874.6,53376.5,53671.6,54892.5,56303.9,57241.3,59153.0,60018.5,60585.3,61647.1,62823.1,64011.2,64723.7,65378.8,66551.3,67411.6,68252.1,69714.9,71225.0,72691.6,73763.4,74337.8,75540.8,75954.9,76216.3,77672.3,78589.2,80182.7,81464.3,82910.8,84176.5,84956.8,85863.7,86578.4,87334.6,89001.0,89827.9,90708.7,92440.9,93008.3,94257.0,95701.2,98261.4,99241.2,100234.2,101354.6,102117.9,102300.8,103594.5,104803.1,105965.0,107747.9,108278.6,110020.2,110932.3,112233.7,112171.2,112239.4,112956.5,114670.2,115567.2,116836.8,118394.1,119047.4,120697.8,122824.7,125151.7,127616.9,129598.7,132057.7,132928.1,135219.7,136638.7,139563.5,142303.8,144474.9,145403.0,146694.4,149754.4,151617.0,152393.7,154005.2,155029.1,162237.3,157640.2,156214.8,154197.4,156433.8,155704.8,156331.7,158488.8,161353.3,163942.9,164490.4,166828.7,167145.0,168471.5,169083.6,170900.5,172236.1,170469.8,174799.4,172827.1,173617.9,174698.4,173739.3,175466.9,178453.8,180759.3,183268.4,185291.7,187010.9,188719.5,188876.9,189491.0,190311.1,191052.4,192632.8,195457.1,197153.2,198427.5,200817.3,202840.6,204395.1,206240.5,209220.5,212434.1,214383.7,216103.7,217741.9,221210.0,240414.4,231579.1,230286.8,266593.2,245905.6,247487.7,251181.2,252387.8,255728.9,260858.5,264473.5,268642.6,270008.6,272374.9,275535.4
02000,Alaska,4603.6,4943.3,5050.0,4976.3,5319.7,5201.6,4868.1,4938.1,5206.7,5221.9,5214.2,5300.8,5405.8,5445.8,5603.9,5730.1,5961.8,6149.6,6315.4,6714.7,6732.9,6948.8,7301.5,7618.9,8080.0,8634.7,9008.8,9197.0,9332.2,9389.6,9561.1,9772.5,10000.7,10066.6,10122.9,10269.3,10844.8,10894.7,11033.9,11074.7,11153.1,11102.3,11036.8,10949.7,10614.2,10545.7,10540.3,10671.3,10800.9,10936.2,11129.7,11372.8,11557.6,12073.4,12486.7,12287.7,12479.2,12772.1,12960.5,13149.2,13210.8,13243.2,13477.7,13706.5,14075.2,14167.6,14370.9,14440.1,14874.8,14904.1,15009.8,15201.5,15334.4,15409.4,15556.4,15699.3,15842.4,15867.6,15972.2,16068.6,16134.9,16263.6,16473.8,16634.1,16899.7,17272.9,17406.9,17610.6,17992.2,18042.1,18155.3,18434.2,18453.2,18588.1,18641.3,19144.0,19682.4,19971.5,20267.6,20447.2,20812.1,21349.4,21369.3,21617.7,21898.5,22126.8,22427.8,22872.8,22849.6,23262.9,23553.6,23822.4,23961.0,24182.8,24540.0,25032.8,25256.4,25729.8,26276.3,26815.9,27215.7,27658.9,27735.7,28174.5,29260.3,29769.3,29848.8,30166.6,31969.9,33092.9,33049.3,33330.5,32542.0,32944.5,33012.8,33482.4,34475.9,35163.6,35750.7,36107.1,36912.9,37585.8,38197.8,38785.8,38734.2,39005.4,38847.5,39401.3,38362.6,38367.9,38746.1,38783.7,39948.5,40517.7,40819.1,41283.2,41820.1,41949.9,41941.4,41963.2,41121.6,41158.4,41304.7,41557.3,41477.7,41624.4,42112.2,42463.2,42937.2,43177.4,43864.4,44112.0,44404.0,44451.1,44592.3,44583.0,44396.7,47219.3,44887.6,44961.6,49925.2,47397.6,47485.1,48023.9,49140.4,50110.1,50838.0,51310.2,51288.3,52023.1,53076.3,53708.0
04000,Arizona,14231.7,14604.9,14997.9,15418.2,15759.2,16350.2,16856.0,17621.8,18308.9,19088.4,20051.8,20789.3,21846.4,22400.9,23455.4,24245.4,25219.0,26019.8,26637.7,28083.3,28709.6,29617.5,30964.5,31601.6,31628.0,31941.8,32159.3,32916.7,33762.9,34886.2,36062.8,37107.6,38242.9,39409.2,40706.8,41596.4,43159.4,43939.5,44979.2,46038.3,47578.5,48271.8,49017.0,49923.5,50706.5,51781.9,52470.5,54121.8,55027.6,55941.9,57348.7,58293.3,59624.5,60321.7,61119.6,62041.5,62628.2,63505.4,64338.0,64719.3,66072.2,66966.4,67273.2,68606.5,69709.3,71292.1,72024.9,73405.6,75185.6,76437.8,77188.9,78920.7,81083.1,83203.8,85345.0,87190.5,89372.3,90588.6,92806.5,94461.8,96874.8,98708.2,100416.3,101800.6,104913.8,106467.2,108655.7,111153.2,114284.9,116699.3,119072.5,121283.1,121786.2,124191.2,125759.5,127952.2,132026.7,134294.0,136800.0,139174.3,140738.7,142072.4,142610.9,142969.2,145235.7,146608.4,147738.6,150238.1,152730.9,154751.5,157057.2,161095.7,165062.8,168484.0,171665.2,176559.9,180072.7,185498.7,190671.1,194657.2,202630.5,206095.7,209461.4,212863.0,216787.3,219150.7,220790.7,221587.6,221503.9,228935.9,223470.9,220069.8,212847.6,212602.7,210678.2,213005.7,212130.7,215351.6,217482.0,219930.2,224845.9,226041.8,228025.2,229900.2,233458.9,235738.5,234218.2,242310.1,238718.5,241604.2,243195.6,244602.8,249019.9,251871.8,254971.8,258983.0,263680.3,266834.8,267928.1,271452.9,274505.8,278149.3,281862.3,284269.6,290880.5,294603.0,299995.0,303567.5,309314.3,312598.6,317791.1,322131.8,330746.4,335012.3,339272.3,343825.3,350037.6,388634.4,382667.7,375907.4,425160.9,399771.6,403730.2,410880.1,418660.9,426127.3,434287.5,441258.5,450486.8,458362.5,459600.3,464165.8
05000,Arkansas,11124.2,11224.9,11404.7,11761.8,12181.7,12403.6,12728.3,13333.4,14045.9,14412.4,15041.7,15175.1,15697.3,15808.9,16223.9,16626.4,16796.9,16751.8,17676.6,18359.7,19096.4,19455.5,20197.7,20062.4,20227.2,20494.8,20715.2,21348.7,21313.8,21749.6,22118.1,22605.9,23669.9,24328.5,24685.5,25102.3,25574.2,25833.2,26048.9,26472.9,26836.6,27076.0,27503.5,27795.8,27747.7,28110.7,28433.8,29135.1,29672.6,30386.9,30932.7,30966.8,32043.3,32455.8,32871.4,33408.5,33724.8,34273.8,34804.4,35021.8,35664.8,36109.5,36684.0,37518.8,38648.4,39570.2,39983.1,40588.4,40969.6,41352.0,41726.6,42443.2,43135.8,44019.2,44569.3,45284.5,46155.3,46713.2,47343.7,48236.7,48677.6,50138.0,50287.4,50775.2,51510.4,51822.9,52670.3,53918.7,54825.3,55377.9,55938.9,56603.3,57273.4,57415.9,58115.2,58883.7,59627.2,60430.4,61444.8,62042.2,63735.7,64351.5,64152.6,64434.4,64754.3,65408.8,65885.2,66747.0,68305.8,68941.2,70052.6,71325.9,72522.7,73640.8,74687.0,76384.1,76289.1,77471.3,78153.6,80047.4,81387.2,82782.6,83293.2,84103.5,86232.7,87816.4,88290.1,91303.4,90501.1,94763.8,92526.8,91951.0,91752.1,90939.7,90320.6,90956.7,91566.5,93848.3,95430.3,95662.8,99272.8,99366.4,100990.4,102168.6,105413.1,106850.9,105773.4,109992.1,106771.3,107126.7,107628.3,107310.8,110514.1,112779.1,113683.7,115709.3,115060.3,115993.0,117305.5,118170.8,118531.8,119387.3,119969.4,121146.8,122655.1,123103.0,123817.6,125725.9,127087.9,128125.6,129626.1,131043.7,130597.4,130586.8,131740.0,132832.7,135653.3,148946.4,142278.2,141568.8,163904.2,153027.9,153800.2,154713.6,156175.3,157567.0,162283.0,164991.4,167062.8,165618.0,166901.1,167305.4
06000,California,168155.8,172482.8,177554.9,181505.7,185566.4,191026.4,195719.2,203819.5,210784.9,217704.0,223608.1,230463.1,239571.7,245552.6,254047.6,261554.3,271056.7,278460.4,288040.3,300109.2,307270.5,314161.5,326412.2,329583.2,336244.1,339658.3,344054.4,348621.9,358383.1,365084.5,372632.3,383603.3,395788.6,404733.8,416090.7,424673.5,434563.4,438550.3,446596.4,455844.0,465206.4,472390.3,481099.6,487241.6,497378.9,508207.8,514319.1,526546.2,540008.2,552016.2,564373.3,574074.4,590093.0,594023.1,599928.7,616729.6,630882.8,640511.7,647283.6,655817.1,656889.8,662894.6,668733.5,677912.6,688316.6,699891.6,707109.6,712776.0,713631.6,717401.7,718801.6,726224.7,729864.6,739251.8,743952.0,753538.7,766929.0,774629.1,785271.8,791589.0,810281.7,824683.0,832942.5,844681.8,855423.0,867155.1,882549.2,900633.9,931602.2,943625.3,960955.8,977258.9,997604.0,1010126.3,1026838.1,1056162.6,1092962.9,1112732.3,1150264.1,1154241.0,1175565.0,1173015.5,1166764.8,1162120.1,1171907.9,1182603.6,1190704.7,1203907.6,1214766.6,1231040.6,1250937.1,1265672.4,1285348.8,1307329.4,1320853.4,1347157.3,1351103.9,1375257.3,1400078.8,1425095.3,1472105.4,1482976.9,1500342.9,1517442.8,1544257.3,1560236.6,1562585.6,1578149.1,1581045.9,1602953.6,1598349.5,1570829.3,1539232.3,1540030.7,1533392.0,1546619.7,1576815.7,1604032.1,1609613.5,1649528.6,1696444.5,1704323.9,1725292.8,1727650.9,1775723.2,1796915.4,1794568.1,1891845.4,1801626.6,1833423.1,1851647.7,1876843.6,1902645.1,1937630.9,1976434.3,2006161.7,2055502.8,2089561.3,2111103.4,2132030.8,2160710.9,2174042.2,2202555.5,2227243.5,2251305.9,2278666.9,2307389.9,2342831.9,2359551.7,2395471.8,2430234.3,2458962.7,2500309.9,2527505.3,2542313.3,2581673.9,2620751.8,2782204.5,2853265.6,2813863.6,3097752.7,2972063.1,2997363.9,2987527.9,2969021.5,2979888.0,3018949.2,3058730.5,3084689.8,3126009.9,3148963.2,3175052.8
08000,Colorado,18394.8,18732.4,19137.2,19660.6,20011.3,20717.9,21437.4,22530.4,23028.4,23970.4,24896.7,25758.6,26621.7,27290.3,28535.7,29447.9,30601.8,31131.0,32401.5,34076.1,34942.9,35836.0,37704.6,38888.5,39344.6,40352.9,40529.1,41649.0,42390.2,43121.1,44120.7,45134.6,45960.4,47141.4,48187.8,49025.3,49581.9,50247.1,50668.3,51272.2,52182.3,52295.4,52529.7,52580.8,53125.8,53764.6,54356.9,55469.8,55815.3,56969.2,58047.1,59100.2,61030.3,61456.7,62355.4,62845.9,64197.0,65297.8,66294.9,66736.9,67879.3,69053.8,70093.0,71505.6,73296.0,75111.1,76443.6,77196.5,79905.1,80977.4,82016.7,83895.9,84913.9,87264.7,88422.6,90754.3,93057.2,94455.9,96489.4,97873.5,100053.1,102243.3,103962.9,105640.5,107229.7,109296.3,111969.3,114390.9,118507.1,120994.8,125157.3,125652.6,128170.5,130339.4,131551.6,136789.4,140434.7,145171.8,149419.1,151217.5,154657.2,154907.4,153611.9,153090.5,152796.5,154303.4,154658.8,156210.5,155050.1,156201.6,159444.3,158925.1,159880.3,162670.8,163776.8,167946.0,169911.1,172856.8,175939.7,178283.5,185285.9,186853.3,189759.5,190889.3,196388.0,200011.9,201162.7,204882.0,205300.7,212552.8,212481.5,209928.1,204041.1,200012.1,198054.8,198572.1,200881.2,203728.5,207252.8,212351.1,220145.8,222718.2,225957.9,226673.5,231940.7,234324.5,233373.4,244493.3,242295.7,246387.0,249666.2,252918.1,261320.7,266711.6,270316.5,275463.5,277175.8,279882.6,280321.7,281404.0,279518.8,281188.5,284871.0,289136.5,295371.2,300553.8,305257.0,312284.9,318851.7,324503.3,331417.3,337678.6,346203.3,349099.2,354256.6,355933.9,364289.6,381556.2,375794.9,378990.6,422864.3,409292.6,415854.5,423859.2,431078.8,436241.2,452824.9,448707.2,456369.2,463118.7,465456.1,470464.2
09000,Connecticut,23708.8,24158.8,24933.0,25345.0,26063.6,26649.8,27269.3,28147.9,28780.0,29663.0,30531.4,31349.1,32507.5,33144.8,34238.9,35374.8,36882.5,37677.3,38911.9,40576.8,41538.2,42537.5,44101.1,44540.2,45266.1,46211.5,47143.9,47860.0,48673.5,49209.7,50038.9,51907.1,53254.0,55055.1,56935.5,57812.5,58734.8,59286.0,60344.0,61370.6,61924.9,63966.7,65201.9,66901.4,67665.8,69161.9,70896.5,72715.1,75154.2,76514.6,78372.3,80367.5,82246.6,83747.9,84973.4,85679.9,85631.3,86850.4,87544.4,87506.3,86798.6,87956.0,88059.2,88816.5,92137.4,93895.0,94610.7,96162.4,95120.9,96935.4,97920.3,99054.1,98714.5,99094.1,100222.9,101938.5,103623.6,104945.4,106275.0,107091.1,108156.4,110144.4,111235.0,112528.2,114709.8,116301.9,117750.2,120379.6,123941.4,125591.7,127665.8,129466.9,130661.5,132360.4,134917.6,136821.0,142658.9,144799.2,147779.9,149629.7,154167.5,155679.4,154210.1,154286.6,152835.4,154689.2,154941.6,155344.8,153214.9,155191.2,157508.6,159839.8,159727.2,162968.3,166682.9,169251.3,169349.8,171923.4,173875.4,178166.5,184291.3,186520.3,187424.7,190616.2,199584.2,201211.7,202038.8,202966.8,213732.3,216723.9,215095.0,213081.8,210719.8,212166.0,211788.9,214260.3,215789.2,220296.5,221531.2,221588.1,223300.8,226902.0,228112.2,226908.0,227093.0,229012.3,226240.0,234187.0,222808.6,223145.5,224182.8,225200.4,228782.9,231552.7,234294.0,237706.4,236877.6,238470.1,239573.7,241818.1,243024.5,243517.1,243735.7,244517.5,245754.4,248293.6,250100.9,253655.5,256616.7,258801.7,263148.1,263762.3,266910.2,266992.4,266688.4,269620.0,270799.2,282824.6,280319.1,279551.5,298150.1,289198.9,289869.1,292265.6,296804.9,297263.3,303052.6,305882.2,313239.8,314949.5,316971.5,320083.9
10000,Delaware,4250.1,4374.0,4429.8,4562.0,4541.1,4677.1,4795.1,4951.2,5001.9,5148.8,5280.1,5375.6,5501.9,5617.5,5788.4,5965.3,6194.0,6286.4,6495.9,6759.8,6857.7,6968.3,7217.5,7291.8,7423.2,7559.8,7698.8,7802.9,8015.6,8002.6,8118.2,8391.8,8583.6,8875.6,9070.3,9290.3,9520.5,9648.9,9741.0,9984.4,9977.5,10281.8,10491.6,10646.9,10770.1,11000.4,11242.1,11546.9,11690.8,12052.3,12512.2,12734.7,13236.3,13528.7,13736.2,13983.0,14152.9,14300.9,14505.9,14521.0,14925.7,15084.6,15311.7,15543.6,15574.8,15832.8,15968.1,16023.5,16121.1,16428.6,16520.4,16763.5,16740.0,17084.9,17222.6,17583.0,17764.6,18018.6,18258.7,18586.3,18836.6,19279.1,19573.4,19935.3,19894.7,19985.1,20507.2,20838.8,21982.5,22400.6,22619.0,22900.8,23808.2,23832.4,24120.4,24705.6,26002.9,26633.2,26843.3,26868.2,28779.6,29240.6,29619.0,29860.0,30224.4,30286.5,30444.3,30485.8,30338.3,30828.7,31408.5,31711.6,31282.4,32109.3,32338.0,33355.5,32371.7,32659.8,32861.5,34400.4,34512.0,35162.8,35247.4,35090.3,35994.7,36391.9,36112.2,36346.9,35738.4,36852.4,36529.6,36731.2,36558.2,36675.3,36629.6,36579.8,36193.7,36619.0,37309.0,37801.5,39231.8,39629.4,40015.7,40165.4,39774.4,40120.1,39706.0,40889.7,39987.5,40616.8,40809.7,41297.2,41614.9,42296.0,42738.9,43041.7,44023.6,44703.2,44669.6,45108.6,45105.9,45699.4,46176.5,46731.9,47364.1,47599.1,48416.1,48929.2,50055.1,50740.0,51620.1,52186.3,52205.0,52666.4,52996.1,53095.3,54029.4,57080.5,55500.4,54743.2,62714.4,57944.9,57605.3,58424.6,62209.5,63805.2,65192.7,66418.9,66364.8,67367.3,67763.4,68415.8
11000,District of Columbia,6472.9,6548.0,6708.4,6863.0,6868.2,7075.3,7212.9,7393.8,7362.2,7528.1,7680.9,7846.5,7742.8,7901.6,8074.8,8286.5,8155.1,8360.2,8515.5,8756.9,8877.5,8960.9,9211.8,9246.5,9435.9,9610.0,9735.8,9909.5,9979.1,10096.1,10235.4,10438.1,10693.8,10947.1,11280.4,11474.3,11614.3,11660.7,11794.1,11986.8,12219.4,12321.7,12425.6,12556.4,12659.2,12837.2,13092.4,13472.3,13695.0,14062.4,14581.4,14818.5,14923.2,15062.4,15165.2,15375.2,15493.6,15731.4,15929.0,16081.8,16231.8,16458.8,16601.6,16868.9,17074.2,17317.3,17480.0,17531.4,18001.0,18018.9,18062.0,18094.9,18200.2,18452.1,18535.2,18643.2,18552.0,18624.6,18567.7,18611.5,19060.1,19135.9,19433.5,19753.9,19916.1,20074.0,20375.1,20608.8,21027.4,21383.5,21782.4,21865.7,22136.3,22357.0,22794.4,23213.2,24340.9,24564.3,24900.1,25505.1,25475.0,25762.2,25801.8,25932.4,25452.1,25802.1,25960.1,26239.3,25659.1,25954.6,26285.0,26655.5,27682.4,28105.9,28481.0,29249.3,29163.0,29713.0,30087.6,30558.0,30964.9,31486.6,31828.4,32146.3,33273.2,33832.7,34431.4,34845.3,34543.8,35534.4,35416.7,35175.1,35454.6,35504.6,35467.3,35733.7,37242.4,37978.8,38486.4,39142.0,40784.1,41145.7,41686.2,41828.4,42311.6,42548.0,42110.4,43359.1,42823.4,43158.6,43249.7,43623.5,45199.3,45843.4,46523.4,46929.8,49106.3,49690.8,49975.8,50194.0,51452.9,52013.8,52344.0,52951.7,53325.5,53792.1,54495.7,55021.4,55343.6,55962.8,56933.8,57342.7,56986.9,57452.7,57644.4,57885.3,57574.1,61401.2,61375.7,60363.6,66114.1,65074.0,65064.1,64570.1,63079.0,63863.8,65008.0,65940.5,67134.1,68479.8,68866.6,69577.8
